Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000179091,CYC1,Gene Expression,0.4316860773179906,0.0,0.0,65077,29.366163389455306,1541
ENSG00000114902,SPCS1,Gene Expression,0.4315720471664893,0.0,0.0,25224,11.018217728302936,1419
ENSG00000152518,ZFP36L2,Gene Expression,0.43133955054635076,0.0,0.0,8727,12.73141708220558,1532
ENSG00000102316,MAGED2,Gene Expression,0.43067151508095436,0.0,0.0,37892,16.873914584830516,1486
ENSG00000160932,LY6E,Gene Expression,0.430178450984245,0.0,0.0,7909,9.049326237446314,1455
ENSG00000109971,HSPA8,Gene Expression,0.4295533817830699,0.0,0.0,55828,25.130251369820726,1545
ENSG00000110171,TRIM3,Gene Expression,0.42953183067222267,0.0,0.0,9830,4.285586225061076,1237
ENSG00000131759,RARA,Gene Expression,0.4285967763226766,0.0,0.0,54588,25.741612978312528,1537
ENSG00000122952,ZWINT,Gene Expression,0.42802288919143644,0.0,0.0,8376,3.4805373275265574,1164
ENSG00000276293,PIP4K2B,Gene Expression,0.4275281690381874,0.0,0.0,34721,15.79900629817284,1478
ENSG00000170873,MTSS1,Gene Expression,0.4262805999250448,0.0,0.0,41835,19.111941879937,1491
ENSG00000108406,DHX40,Gene Expression,0.4256133081509034,0.0,0.0,18129,8.059802430937825,1371
ENSG00000171476,HOPX,Gene Expression,0.4251309267399574,0.0,0.0,26634,12.176054127616498,1435
ENSG00000205581,HMGN1,Gene Expression,0.42504537846172613,0.0,0.0,20510,9.073600904331267,1390
ENSG00000140443,IGF1R,Gene Expression,0.42498378488259214,0.0,0.0,43751,19.264574942097664,1497
ENSG00000167861,HID1,Gene Expression,0.4245693740783704,0.0,0.0,30120,14.184196969931493,1455
ENSG00000163913,IFT122,Gene Expression,0.42449128569782396,0.0,0.0,7681,3.6648708909459713,1180
ENSG00000168743,NPNT,Gene Expression,0.4233507470119519,0.0,0.0,17806,8.171652695466987,1376
ENSG00000159199,ATP5MC1,Gene Expression,0.4230697961518822,0.0,0.0,21292,9.62429258336669,1392
ENSG00000183779,ZNF703,Gene Expression,0.4229423008277526,0.0,0.0,98048,48.404658192594084,1597
ENSG00000184363,PKP3,Gene Expression,0.4228517185572114,0.0,0.0,15509,6.9442759805995165,1340
ENSG00000278540,ACACA,Gene Expression,0.422679199688287,0.0,0.0,24307,10.796041478467034,1412
ENSG00000180921,FAM83H,Gene Expression,0.42231537323719237,0.0,0.0,21616,10.21087018096427,1407
ENSG00000171475,WIPF2,Gene Expression,0.42224840549251264,0.0,0.0,27209,12.416324489820475,1447
ENSG00000122711,SPINK4,Gene Expression,0.4222397821151135,0.0,0.0,3968,1.6394703244704418,821
ENSG00000160957,RECQL4,Gene Expression,0.42219415722663395,0.0,0.0,11642,5.003015053620763,1255
ENSG00000156504,FAM122B,Gene Expression,0.4221590078205748,0.0,0.0,27776,12.696022233026122,1447
ENSG00000178935,ZNF552,Gene Expression,0.42151833065765854,0.0,0.0,12295,5.211896287378007,1251
ENSG00000108946,PRKAR1A,Gene Expression,0.42089872229065795,0.0,0.0,36869,17.42849343267304,1498
ENSG00000277258,PCGF2,Gene Expression,0.42012546469774825,0.0,0.0,57613,27.21084472242914,1546
ENSG00000141753,IGFBP4,Gene Expression,0.4199624325123005,0.0,0.0,9079,9.167307560426439,1466
ENSG00000159189,C1QC,Gene Expression,0.41906202227810146,0.0,0.0,8739,9.918549666814057,1383
ENSG00000166143,PPP1R14D,Gene Expression,0.41873982800701604,0.0,0.0,3573,1.6306764357132246,900
ENSG00000055483,USP36,Gene Expression,0.4185037996535463,0.0,0.0,26506,12.390361241060514,1449
ENSG00000108829,LRRC59,Gene Expression,0.41842691155416584,0.0,0.0,19515,9.162655230646731,1413
ENSG00000140526,ABHD2,Gene Expression,0.4181053892298181,0.0,0.0,30369,14.052313419844479,1479
ENSG00000173372,C1QA,Gene Expression,0.4177260502049438,0.0,0.0,8459,9.586617060859458,1376
ENSG00000181019,NQO1,Gene Expression,0.4168579801239578,0.0,0.0,15444,7.008169624290882,1347
ENSG00000130770,ATP5IF1,Gene Expression,0.4166403136096738,0.0,0.0,25303,10.746907827958735,1408
ENSG00000163435,ELF3,Gene Expression,0.4162381099879775,0.0,0.0,29206,13.890524679481995,1431
ENSG00000106624,AEBP1,Gene Expression,0.41547039093466914,0.0,0.0,6743,9.024948904534728,1381
ENSG00000136463,TACO1,Gene Expression,0.4153760388788912,0.0,0.0,18292,8.177188275350213,1371
ENSG00000116133,DHCR24,Gene Expression,0.4152199254409268,0.0,0.0,20763,9.108949781577335,1352
ENSG00000146872,TLK2,Gene Expression,0.41495371826628125,0.0,0.0,10394,4.416515245196497,1247
ENSG00000167702,KIFC2,Gene Expression,0.41466933658150634,0.0,0.0,41048,19.312957086223143,1504
ENSG00000104413,ESRP1,Gene Expression,0.4143374159382106,0.0,0.0,7801,3.3770121444009926,1208
ENSG00000147724,FAM135B,Gene Expression,0.414295159964681,0.0,0.0,8618,3.629466937962219,1203
ENSG00000159403,C1R,Gene Expression,0.4139079458232366,0.0,0.0,5353,6.993312018009314,1290
ENSG00000151208,DLG5,Gene Expression,0.41319040063045764,0.0,0.0,22432,9.95576664980337,1390
ENSG00000166165,CKB,Gene Expression,0.41315595020361356,0.0,0.0,14909,7.109682249960265,1367
ENSG00000167004,PDIA3,Gene Expression,0.41310916585722574,0.0,0.0,12612,5.279863874124775,1288
ENSG00000013583,HEBP1,Gene Expression,0.4130341295704671,0.0,0.0,21093,9.760233413637302,1413
ENSG00000196586,MYO6,Gene Expression,0.4128795760273524,0.0,0.0,16634,7.478488588554587,1347
ENSG00000064313,TAF2,Gene Expression,0.4127028057353062,0.0,0.0,17237,7.325234441859273,1326
ENSG00000052344,PRSS8,Gene Expression,0.41255995185518307,0.0,0.0,18731,8.388563996199279,1376
ENSG00000142875,PRKACB,Gene Expression,0.4119439610748857,0.0,0.0,6594,3.208374762841797,1124
ENSG00000132274,TRIM22,Gene Expression,0.4117923640773281,0.0,0.0,4008,5.619961824133278,1168
ENSG00000163932,PRKCD,Gene Expression,0.4117535506650774,0.0,0.0,23627,10.54912454970753,1417
ENSG00000131495,NDUFA2,Gene Expression,0.4111073394664574,0.0,0.0,19492,8.707414337198731,1396
ENSG00000170832,USP32,Gene Expression,0.41096209012460583,0.0,0.0,14693,6.4681008237415885,1327
ENSG00000099194,SCD,Gene Expression,0.410791081563452,0.0,0.0,14614,6.334661087575113,1302
ENSG00000127884,ECHS1,Gene Expression,0.4099283616589679,0.0,0.0,14178,6.337105616337151,1342
ENSG00000136444,RSAD1,Gene Expression,0.40991213583850655,0.0,0.0,20639,9.341378513361422,1401
ENSG00000177570,SAMD12,Gene Expression,0.4088816330448412,0.0,0.0,17074,7.328172372149885,1327
ENSG00000166387,PPFIBP2,Gene Expression,0.4077866178212618,0.0,0.0,22362,10.221434949814265,1416
ENSG00000189060,H1F0,Gene Expression,0.4073223254620768,0.0,0.0,36249,16.992374536710706,1505
ENSG00000136574,GATA4,Gene Expression,0.405696479320811,0.0,0.0,821,0.3609905924222704,297
ENSG00000176842,IRX5,Gene Expression,0.4055072796653887,0.0,0.0,11381,5.1493939237346416,1286
ENSG00000205363,INSYN1,Gene Expression,0.4054685092635906,0.0,0.0,2861,1.285379338077954,779
ENSG00000124664,SPDEF,Gene Expression,0.40455438206067035,0.0,0.0,12967,5.700744868789426,1283
ENSG00000187837,HIST1H1C,Gene Expression,0.4045501980618716,0.0,0.0,8520,3.4934981663548976,1214
ENSG00000108953,YWHAE,Gene Expression,0.40435838843731087,0.0,0.0,17355,7.692882368929356,1393
