"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HIST1H2AJ",0.73593483800752,0.018017375305678,1.17307935603597,0.0153590421764489,0.987745739177634,NA
"CNOT10",520.746608365821,0.0844943343266704,0.210056773328308,0.402245226316078,0.687503560910669,0.999690621664146
"CKAP5",3329.72741424031,0.294049016443955,0.206566970157614,1.4235045235915,0.154589951709767,0.864087214847787
"ZNF804B",0.0965623367279833,0.262860546729768,3.30920503854024,0.0794331398835658,0.936688110094348,NA
"ZMAT4",3.90822655485661,-0.176645599107617,1.34557920391527,-0.131278484829155,0.895555011100563,0.999690621664146
"CSNK2A1",2279.24856788241,0.0611512011419195,0.116439763578632,0.525174556032348,0.599461850986955,0.999690621664146
"BCL7A",497.540875532022,0.0891450348633132,0.200429035536679,0.444771061361513,0.656485209429081,0.999690621664146
"LRP5L",58.4042664700821,-0.0323272141689961,0.26550995664204,-0.121755186049688,0.903092906161209,0.999690621664146
"BCL2L10",2.21358340661802,-0.230203811521514,0.857008205914894,-0.268613310739261,0.788227268160767,0.999690621664146
"FLVCR2",82.5194209558651,-0.827929405624222,0.510176779134953,-1.62282847727418,0.104626076339109,0.785836120149066
"DLGAP4",981.059955211723,-0.0541857494578801,0.132268921368284,-0.409663501428334,0.682052807579592,0.999690621664146
"PIAS4",396.77475620132,0.0945770451407792,0.156240194452947,0.605331076756064,0.544959036586942,0.999690621664146
"ZC3H6",105.248129315422,-0.047263978572855,0.364836159282093,-0.129548503815682,0.896923647778256,0.999690621664146
"VASH2",88.729938831514,0.967709470084848,0.430192840100377,2.24947832664777,0.024482080212221,0.461815831730461
"FAT1",3022.88311368788,0.0755885902549684,0.376832707171498,0.200589250392662,0.841019764180706,0.999690621664146
"ZBTB26",125.56023079733,-0.168802346774269,0.212170179825041,-0.79559882973878,0.426265247009707,0.998988830674304
"C20orf26",9.58382488628655,0.444940746451814,0.602181095386791,0.73888195737201,0.459978679209223,0.999690621664146
"EIF4EBP1",825.9219700545,0.099499389948045,0.193886345442301,0.513184101340727,0.607822546130966,0.999690621664146
"MDGA2",11.7842376492683,-0.278862640701742,1.75837778462635,-0.158590857516434,0.873991232277157,0.999690621664146
"KCNE1",8.85927831898064,0.24202925263288,1.14084429343693,0.212149242473518,0.831990603983368,0.999690621664146
"COMMD4",524.994380558954,0.32375543140532,0.172115777987067,1.88103284423841,0.0599674511431596,0.656324091302491
"RTN4IP1",138.118106588683,0.132631105579613,0.27032834327539,0.490629668989235,0.623688398239224,0.999690621664146
"NPR3",10.4743775986549,0.0791727781523175,0.647619552114486,0.12225198867733,0.902699454184386,0.999690621664146
"KRTAP10-10",0.0653688729040261,0.151885220429303,3.30920503854024,0.0458977968002559,0.96339171022707,NA
"CTD-3203P2.2",6.09019034102868,0.0440499399488791,0.480853706695771,0.0916077786975423,0.927009670934436,0.999690621664146
"FAM32A",785.596283426449,0.138240923360387,0.212904502170034,0.649309535267515,0.516138323722413,0.999690621664146
"MYO19",1306.99162486691,0.323363052531513,0.419250295297317,0.771288788961247,0.440535776009468,0.999690621664146
"ZFP91",1529.44848926334,0.0101090349342645,0.113257734690523,0.0892569056046149,0.928877741663793,0.999690621664146
"ZNF485",63.5788849283719,-0.192583239884145,0.16918302773598,-1.13831300019457,0.254989807462368,0.944889381352803
"PRDM6",23.5862905940266,0.395487851752767,0.520673602816135,0.759569622146612,0.447511883073302,0.999690621664146
"ATF6B",1003.46151384442,-0.0506426028623146,0.156073948309662,-0.324478257971894,0.745575980217308,0.999690621664146
"ADCY3",795.659246164265,0.457295284262547,0.288558275144302,1.58475886381655,0.113021132016244,0.801299822254991
"TMEM252",196.130392110834,-0.346811288550805,0.848100246307258,-0.408927234794316,0.682593061691769,0.999690621664146
"KIAA0922",252.255140476326,-0.0291056001428063,0.238659252656644,-0.12195462702081,0.902934952351757,0.999690621664146
"AKR1B10",67.2292856771825,4.15895479812546,0.849695603891387,4.89464083264468,9.8485428560572e-07,0.00121387078602003
"RPS29",1169.13443007119,0.0225622138267851,0.11513116184351,0.195969652920313,0.844633918879751,0.999690621664146
"ARFRP1",447.735636087065,0.0535189603799207,0.202097710532684,0.264817252203682,0.791150245898682,0.999690621664146
"AC104472.1",0.181554486175403,0.307264008401931,2.22878420600415,0.137861712934877,0.890349710060384,NA
"CNDP1",1.83091144373595,-1.17431914289492,0.770740657630171,-1.5236242324437,0.127602606246826,0.829289450110457
"ATP10D",320.404612603108,-0.405510131650539,0.337701282943883,-1.20079535415305,0.22983059446626,0.927887156576281
"SPPL2A",318.264825174827,-0.0180367482074127,0.229684151548115,-0.0785284839456342,0.93740767326573,0.999690621664146
"ATP5G1",901.696644301607,-0.301519288725334,0.333667688566486,-0.903651444407849,0.366180253464938,0.98731111901133
"CLPX",630.926019482022,-0.0641538933211447,0.120284362201525,-0.533351901668321,0.593790005982112,0.999690621664146
